scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.5,2.75,4.6,4.85,1.0,3.2,3.85,
0102,1.5,2.75,3.55,4.05,1.45,2.6,3.75,
0105,1.5,2.75,4.4,4.6,1.34,2.8,4.0,
0106,1.5,2.75,4.3,4.6,1.6,2.95,3.75,4.15
0107,1.5,3.05,4.75,4.95,1.3,2.7,3.85,
0108,1.5,2.75,4.75,,1.34,2.72,4.1,
0201,1.5,2.75,4.0,3.85,1.8,2.95,3.8,
0203,1.5,2.45,4.45,4.95,1.3,2.95,4.45,
03a02,1.8,1.65,4.3,4.65,1.5,2.8,4.1,
03a03,1.8,1.65,4.35,4.78,1.4,3.1,4.15,
03a04,1.8,1.65,4.1,4.3,1.55,2.7,3.8,
03a06,1.8,1.65,4.1,4.95,1.48,2.3,4.05,
03a07,1.8,1.65,4.35,,1.48,3.09,4.7,
03a08,1.8,1.65,4.6,,1.48,2.72,3.95,
03b05,1.8,1.65,2.85,4.3,2.7,3.55,3.45,
03b06,1.8,1.65,2.6,4.45,3.32,3.85,4.1,
03b07,1.8,1.65,2.8,4.65,3.32,4.15,4.25,
03b12,1.8,1.65,2.55,4.85,3.95,3.98,4.0,
0402,1.55,2.3,4.0,4.4,1.9,3.0,4.15,
0403,1.8,1.65,4.55,4.85,2.45,3.32,4.2,
0404,1.8,1.65,2.8,4.15,2.45,4.7,4.7,
0503,1.15,1.1,2.45,4.65,1.8,3.55,3.7,
0505,1.15,1.9,4.05,4.7,1.66,2.45,3.75,
0506,1.15,1.9,3.95,4.65,1.66,2.85,4.0,
0508,1.15,2.7,4.0,4.25,1.52,2.56,3.6,
0603,1.8,1.65,3.6,3.45,1.65,2.9,3.4,
