scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.3,nan,3.1,4.65,1.0,2.0,2.15,nan
0102,nan,nan,2.3,2.75,1.15,nan,2.2,nan
0105,nan,nan,3.05,3.65,nan,2.0,2.3,nan
0106,nan,nan,2.8,4.1,1.4,2.05,2.15,1.5
0107,nan,2.25,4.4,5.0,1.3,1.5,1.55,nan
0108,nan,nan,4.0,nan,nan,nan,1.95,nan
0201,nan,nan,2.65,2.975,1.55,2.05,2.2,nan
0203,nan,1.85,3.15,5.0,1.15,1.95,1.3,nan
03a02,nan,nan,2.85,4.1,1.25,nan,2.2,nan
03a03,nan,nan,2.8,4.425,1.25,2.05,2.1,nan
03a04,nan,nan,2.75,3.3,1.3,1.65,2.25,nan
03a06,nan,nan,2.4,4.95,nan,1.5,2.0,nan
03a07,nan,nan,3.9,nan,nan,nan,2.1,nan
03a08,nan,nan,3.15,nan,nan,nan,2.45,nan
03b05,nan,1.5,1.95,3.55,1.9,2.3,2.35,nan
03b06,nan,nan,1.65,4.35,nan,2.65,2.5,nan
03b07,nan,nan,1.95,4.5,nan,2.9,2.35,nan
03b12,nan,nan,1.85,4.7,2.65,nan,2.2,nan
0402,1.45,1.8,2.65,3.675,1.9,2.15,2.1,nan
0403,nan,nan,3.25,5.0,2.15,nan,1.7,nan
0404,nan,nan,2.45,3.65,nan,2.45,2.3,nan
0503,1.1,1.1,1.6,4.9,1.525,2.15,1.75,nan
0505,nan,nan,2.95,4.55,nan,1.55,2.0,nan
0506,nan,nan,2.55,4.45,nan,2.05,1.9,nan
0508,nan,1.95,2.35,3.35,1.35,nan,1.95,nan
0603,1.6,nan,2.15,2.4,1.5,1.75,2.3,nan
