scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.2,3.0,4.4,4.4,1.0,3.2,4.2,
0102,1.2,3.0,4.2,4.4,1.6,2.8,4.0,
0105,1.2,3.0,4.6,4.0,1.45,3.0,3.8,
0106,1.2,3.0,3.8,4.27,1.6,3.0,3.4,3.8
0107,1.2,3.2,3.8,4.2,1.6,2.6,3.8,
0108,1.2,3.0,4.8,,1.45,2.72,4.0,
0201,1.2,3.0,4.0,3.8,1.8,2.8,3.0,
0203,1.2,2.8,4.6,4.2,1.4,2.8,3.8,
03a02,1.4,1.8,4.0,3.8,1.6,2.7,3.8,
03a03,1.4,1.8,4.2,4.2,1.8,3.0,4.2,
03a04,1.4,1.8,4.2,4.2,1.6,2.4,3.6,
03a06,1.4,1.8,4.2,4.2,1.67,2.6,3.8,
03a07,1.4,1.8,3.8,,1.67,2.73,3.8,
03a08,1.4,1.8,3.8,,1.67,2.83,4.0,
03b05,1.4,1.8,2.8,3.8,3.4,3.8,3.2,
03b06,1.4,1.8,2.8,4.2,3.7,4.2,4.0,
03b07,1.4,1.8,3.2,4.2,3.7,4.4,4.2,
03b12,1.4,1.8,2.2,4.2,4.0,3.9,3.8,
0402,1.4,2.8,4.2,4.1,1.67,3.2,4.2,
0403,1.4,1.8,4.6,4.2,2.0,3.0,4.0,
0404,1.4,1.8,3.0,4.2,2.0,4.4,4.4,
0503,1.4,1.4,3.0,4.0,1.8,3.8,3.4,
0505,1.4,2.3,4.0,4.2,1.7,2.4,3.8,
0506,1.4,2.3,4.0,4.0,1.7,3.0,3.8,
0508,1.4,3.2,4.4,3.8,1.6,2.5,3.4,
0603,1.4,1.8,3.6,3.6,1.2,3.0,3.4,
