scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.0,3.0,4.0,4.0,1.0,3.0,4.0,
0102,1.0,3.0,4.0,4.0,2.0,3.0,4.0,
0105,1.0,3.0,5.0,4.0,1.0,3.0,4.0,
0106,1.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0
0107,1.0,3.0,4.0,4.0,2.0,3.0,4.0,
0108,1.0,3.0,5.0,,1.0,3.0,4.0,
0201,1.0,3.0,4.0,4.0,2.0,3.0,3.0,
0203,1.0,3.0,5.0,4.0,1.0,3.0,4.0,
03a02,1.0,2.0,4.0,4.0,2.0,3.0,4.0,
03a03,1.0,2.0,4.0,4.0,2.0,3.0,4.0,
03a04,1.0,2.0,4.0,4.0,2.0,2.0,4.0,
03a06,1.0,2.0,4.0,4.0,2.0,3.0,4.0,
03a07,1.0,2.0,4.0,,2.0,3.0,4.0,
03a08,1.0,2.0,4.0,,2.0,3.0,4.0,
03b05,1.0,2.0,3.0,4.0,3.0,4.0,3.0,
03b06,1.0,2.0,3.0,4.0,4.0,4.0,4.0,
03b07,1.0,2.0,3.0,4.0,4.0,4.0,4.0,
03b12,1.0,2.0,2.0,4.0,4.0,4.0,4.0,
0402,1.0,3.0,4.0,4.0,2.0,3.0,4.0,
0403,1.0,2.0,5.0,4.0,2.0,3.0,4.0,
0404,1.0,2.0,3.0,4.0,2.0,4.0,4.0,
0503,1.0,1.0,3.0,4.0,2.0,4.0,3.0,
0505,1.0,2.0,4.0,4.0,2.0,2.0,4.0,
0506,1.0,2.0,4.0,4.0,2.0,3.0,4.0,
0508,1.0,3.0,4.0,4.0,2.0,2.0,3.0,
0603,1.0,2.0,4.0,4.0,1.0,3.0,3.0,
