scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.28,2.08,3.24,4.72,1.0,2.0,2.16,
0102,1.28,2.08,2.32,2.84,1.2,1.7,2.2,
0105,1.28,2.08,3.16,3.8,1.24,2.08,2.36,
0106,1.28,2.08,2.8,4.12,1.4,2.04,2.12,1.48
0107,1.28,2.32,4.44,4.96,1.36,1.48,1.52,
0108,1.28,2.08,4.0,,1.24,1.62,2.0,
0201,1.28,2.08,2.64,2.98,1.52,2.04,2.2,
0203,1.28,1.84,3.16,4.84,1.16,2.0,1.56,
03a02,1.56,1.56,2.84,4.24,1.32,1.8,2.28,
03a03,1.56,1.56,2.92,4.48,1.28,2.04,2.16,
03a04,1.56,1.56,2.76,3.38,1.32,1.76,2.24,
03a06,1.56,1.56,2.56,4.96,1.31,1.52,2.12,
03a07,1.56,1.56,4.0,,1.31,1.69,2.08,
03a08,1.56,1.56,3.08,,1.31,1.93,2.56,
03b05,1.56,1.56,1.96,3.64,1.96,2.36,2.28,
03b06,1.56,1.56,1.76,4.48,2.3,2.68,2.52,
03b07,1.56,1.56,1.96,4.56,2.3,2.92,2.32,
03b12,1.56,1.56,1.84,4.72,2.64,2.4,2.16,
0402,1.44,1.88,2.72,3.74,1.93,2.28,2.2,
0403,1.56,1.56,3.36,5.0,2.12,1.9,1.68,
0404,1.56,1.56,2.52,3.6,2.12,2.52,2.36,
0503,1.16,1.16,1.64,4.92,1.56,2.2,1.84,
0505,1.16,1.62,3.2,4.64,1.46,1.64,2.04,
0506,1.16,1.62,2.68,4.52,1.46,2.12,1.88,
0508,1.16,2.08,2.48,3.52,1.36,1.68,2.0,
0603,1.56,1.56,2.28,2.48,1.48,1.8,2.36,
