scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.44,2.8,4.56,4.76,1.0,3.2,3.92,
0102,1.44,2.8,3.68,4.12,1.48,2.64,3.8,
0105,1.44,2.8,4.44,4.48,1.36,2.84,3.96,
0106,1.44,2.8,4.2,4.53,1.6,2.96,3.68,4.08
0107,1.44,3.08,4.56,4.8,1.36,2.68,3.84,
0108,1.44,2.8,4.76,,1.36,2.72,4.08,
0201,1.44,2.8,4.0,3.84,1.8,2.92,3.64,
0203,1.44,2.52,4.48,4.8,1.32,2.92,4.32,
03a02,1.72,1.68,4.24,4.48,1.52,2.78,4.04,
03a03,1.72,1.68,4.32,4.66,1.48,3.08,4.16,
03a04,1.72,1.68,4.12,4.28,1.56,2.64,3.76,
03a06,1.72,1.68,4.12,4.8,1.52,2.36,4.0,
03a07,1.72,1.68,4.24,,1.52,3.02,4.52,
03a08,1.72,1.68,4.44,,1.52,2.74,3.96,
03b05,1.72,1.68,2.84,4.2,2.84,3.6,3.4,
03b06,1.72,1.68,2.64,4.4,3.4,3.92,4.08,
03b07,1.72,1.68,2.88,4.56,3.4,4.2,4.24,
03b12,1.72,1.68,2.48,4.72,3.96,3.96,3.96,
0402,1.52,2.4,4.04,4.34,1.85,3.04,4.16,
0403,1.72,1.68,4.56,4.72,2.36,3.26,4.16,
0404,1.72,1.68,2.84,4.16,2.36,4.64,4.64,
0503,1.2,1.16,2.56,4.52,1.8,3.6,3.64,
0505,1.2,1.98,4.04,4.6,1.67,2.44,3.76,
0506,1.2,1.98,3.96,4.52,1.67,2.88,3.96,
0508,1.2,2.8,4.08,4.16,1.54,2.55,3.56,
0603,1.72,1.68,3.6,3.48,1.56,2.92,3.4,
